x,y,y_lo,y_hi,n,param,outcome,sample
-0.026256973854302364,0.046612309679423515,0.015191355513530168,0.075675917153321,1233,NO3N,logLoad,load
-0.014656444594839406,-0.014365206056368292,-0.04491456424841111,0.01943524943102189,1233,NO3N,logLoad,load
-0.007824210486998696,0.014185910151280881,-0.013693360693909333,0.04180978558639766,1235,NO3N,logLoad,load
-0.002013040066341807,0.007213187334657902,-0.02592889872764374,0.03492846842168591,1231,NO3N,logLoad,load
0.003494243555278795,-0.031573230784312144,-0.06227609497185786,0.004266072101555636,1233,NO3N,logLoad,load
0.009230195716315264,-0.009630452652562686,-0.042552668386847625,0.020019841327203095,1233,NO3N,logLoad,load
0.01566638221697822,-0.00856231821453686,-0.03785478585145881,0.02042899559099454,1233,NO3N,logLoad,load
0.025128178785379703,-0.023408623968054102,-0.050995784583494574,0.008340757469420739,1233,NO3N,logLoad,load
-0.0261539262093519,0.04651487108214487,0.024087180311080866,0.07250630919497275,1296,TN,logLoad,load
-0.014814853178143527,-0.013490208987267351,-0.04533570727001046,0.014712165043024084,1295,TN,logLoad,load
-0.00793717407818073,0.0013584797018443518,-0.020177508340640696,0.024188868132061996,1294,TN,logLoad,load
-0.0018279795366096894,0.00390432531910768,-0.02052257039334594,0.025860176361944463,1294,TN,logLoad,load
0.0038903995173493046,-0.02727179211996136,-0.05199592339030308,0.00626665042084212,1295,TN,logLoad,load
0.009603083763524142,-0.01180244757323726,-0.03259436943537332,0.011366018732561795,1294,TN,logLoad,load
0.015836349922644558,-0.02421971092823614,-0.047078208126015264,0.0028099308649774508,1296,TN,logLoad,load
0.024540990277795143,-0.013247730450024052,-0.03369478678481512,0.01015991599253858,1293,TN,logLoad,load
-0.025951650518896908,0.0494287471729983,0.024815572179480872,0.07872391457354022,2012,TP,logLoad,load
-0.014695350556848752,-0.008368919589583293,-0.032271543223025057,0.020139468064484124,2011,TP,logLoad,load
-0.007784944178551736,-0.00017603223748771034,-0.02198654613208309,0.030818310274989894,2012,TP,logLoad,load
-0.0019743771113679633,0.002860510129604094,-0.021054775395496408,0.027725540539172252,2011,TP,logLoad,load
0.003645883007482331,-0.018557388673722402,-0.04942965720411102,0.007275731646054357,2012,TP,logLoad,load
0.009450954430723897,0.0007939104988240303,-0.02413353973492298,0.02532236779260277,2012,TP,logLoad,load
0.0156396954431335,-0.007760453825457012,-0.03453676400048571,0.018130827097244756,2011,TP,logLoad,load
0.024541119520089652,-0.035718308228721074,-0.06350421366436597,-0.01385871106704187,2012,TP,logLoad,load
-0.02556136766879546,0.030815357809272616,0.00408112012054115,0.05790027302359702,1725,TP,logC_low,tp_dry
-0.014510697511490733,-0.022306872125948358,-0.04380226643506356,0.0059403317724404,1724,TP,logC_low,tp_dry
-0.007674145133041558,0.0051172225949142084,-0.022831809252877658,0.027887555656680652,1725,TP,logC_low,tp_dry
-0.0019555401860961033,-0.006888432389575,-0.03474804272703576,0.02166951598919865,1724,TP,logC_low,tp_dry
0.003501972629244713,-0.015938643715934852,-0.04398744704126846,0.006292120057149404,1726,TP,logC_low,tp_dry
0.0092548821690306,0.004277907323576867,-0.02062215706115866,0.03333679220802729,1724,TP,logC_low,tp_dry
0.015542074078963998,0.02062319544840803,-0.004241705333593317,0.050676915640244444,1724,TP,logC_low,tp_dry
0.024222963161071594,-0.005738477265695403,-0.03534635958085705,0.023069695043324373,1725,TP,logC_low,tp_dry
-0.025816966679094014,0.013394511179915436,-0.008844000347817458,0.03822943033645497,1098,TN,logC_low,tn_dry
-0.014773641769666418,0.014674231979488375,-0.007088306455140907,0.03763448868816058,1099,TN,logC_low,tn_dry
-0.007913249481497898,-0.02355119600410982,-0.04761377732485247,0.0006399177027059764,1098,TN,logC_low,tn_dry
-0.0019331967061343872,-0.01824569580337718,-0.03761987623059394,0.0039772387977345496,1098,TN,logC_low,tn_dry
0.0034791603912854283,0.0009111432604758366,-0.025906933301379415,0.021487699007627505,1099,TN,logC_low,tn_dry
0.009284828844709417,-0.020590199052431105,-0.04499952286513331,0.0056650917909992675,1098,TN,logC_low,tn_dry
0.015827200930890937,0.013377138520473295,-0.009521119981547636,0.038844501177136635,1099,TN,logC_low,tn_dry
0.024625662243467048,0.014633637142657046,-0.007957435231118382,0.038568613806623686,1099,TN,logC_low,tn_dry
-0.025673808394950894,0.031503853576793375,0.014650695475613302,0.04824649857187622,2195,,logR,runoff_on_chem
-0.014526335661445513,0.019693806637462848,0.0025369232333263226,0.035310819756405265,2194,,logR,runoff_on_chem
-0.007647627351295761,0.0008203163042481934,-0.01604478204433736,0.014293583369211885,2195,,logR,runoff_on_chem
-0.0018492493683087807,0.008463895714924143,-0.00504287697203735,0.02254529860605591,2195,,logR,runoff_on_chem
0.003616443810541712,-0.008207934924378745,-0.02754612452627016,0.008736052369994498,2195,,logR,runoff_on_chem
0.009250793421308617,-0.011721464673349566,-0.02458869034752533,0.00490045355635724,2195,,logR,runoff_on_chem
0.015445938451799798,-0.024868869477880105,-0.0414857756682207,-0.0074670637211213,2194,,logR,runoff_on_chem
0.024109840675063453,-0.030553621104585236,-0.04541555099115352,-0.014731778996096173,2196,,logR,runoff_on_chem
