y,n,n_sites,r2_within,ok,xvars,beta_GP,se_GP,p_GP,ci95_lo_GP,ci95_hi_GP,beta_logP,se_logP,p_logP,ci95_lo_logP,ci95_hi_logP,sample,family,beta_logR_dry,se_logR_dry,p_logR_dry,ci95_lo_logR_dry,ci95_hi_logR_dry,beta_logR_wet,se_logR_wet,p_logR_wet,ci95_lo_logR_wet,ci95_hi_logR_wet
logC_low,3157,167,0.07798708252750586,True,GP+logP,1.828934104305712,0.5333631812885595,0.00060567664507738,0.7835614783004277,2.8743067303109964,0.1786695796870915,0.15589171783403089,0.2517482525608976,-0.1268725727556895,0.48421173212987245,TP_NE,base,,,,,,,,,,
logC_low,3157,167,0.07907304565311268,True,GP+logP+logR_dry,1.827917628134275,0.5363834186373607,0.0006547535870722261,0.7766254457005777,2.879209810567972,0.13307214115714514,0.15522121245055148,0.39127556422002485,-0.17115584488257599,0.4373001271968663,TP_NE,ctrl_Rdry,0.038578553261840676,0.0316018452071807,0.22217349077548842,-0.023359925189243215,0.10051703171292456,,,,,
logC_low,4788,304,0.026197256687564563,True,GP+logP,0.9440021530907516,0.38074977984579944,0.013163159146830876,0.19774629747143024,1.6902580087100731,0.14075221179467004,0.06668864966460233,0.03480780698163181,0.01004486027444032,0.27145956331489973,NO3_lowcrop,base,,,,,,,,,,
logC_low,4722,298,0.02759321806623516,True,GP+logP+logR_dry,1.0765455900369818,0.38685225140798607,0.005388637246939862,0.3183291099390947,1.834762070134869,0.11323031311850172,0.06756163022041205,0.09374683003397621,-0.019188048850318815,0.24564867508732224,NO3_lowcrop,ctrl_Rdry,0.03072857329877372,0.024768314391233105,0.21473859328545064,-0.017816430865808277,0.07927357746335571,,,,,
logC_high,2913,174,0.03823102088796215,True,GP+logP,1.87640963393442,0.6104030896725595,0.0021117401827540345,0.6800415621242304,3.0727777057446097,-0.10337489874501334,0.08575208596825945,0.22800692269383827,-0.2714458988419844,0.0646961013519577,NO3_South,base,,,,,,,,,,
logC_high,2843,168,0.04045480872247054,True,GP+logP+logR_wet,1.6557154172121236,0.6365205488786823,0.009289905782807445,0.4081580659902393,2.903272768434008,0.0016761474215825113,0.0777024020223908,0.9827898700276488,-0.1506177620545557,0.15397005689772073,NO3_South,ctrl_Rwet,,,,,,-0.050037621726020325,0.030589391500609218,0.10188490761725988,-0.10999172737621003,0.009916483924169384
logC_low,4554,308,0.023951432430063035,True,GP+logP,-0.8854319331660564,0.48764473447568984,0.06941156073666543,-1.8411980499890062,0.07033418365689337,0.24470422040238407,0.06312273454138866,0.00010590817261003507,0.12098593409557985,0.3684225067091883,NO3_highcrop,base,,,,,,,,,,
logC_low,4456,302,0.05611378302383574,True,GP+logP+logR_dry,-0.7142503879277057,0.49724947596821895,0.1508878436063752,-1.6888414521568298,0.26034067630141855,0.0017556649002661243,0.06459098939323621,0.9783151573029523,-0.12484034803628549,0.12835167783681775,NO3_highcrop,ctrl_Rdry,0.15523389865723575,0.029541297203360805,1.4817750752880667e-07,0.09733402008205475,0.21313377723241675,,,,,
