region,n,pet_med,nwet_med,GP_med
Interior,262,2125.6384383887053,0.2794520547945205,0.8505457465277477
Northeast,189,5114.019326865673,0.3287671232876712,0.8229600408086457
South,294,4467.744408175349,0.30095815555056515,0.8510013360741719
West,336,2038.5358817875383,0.1917808219178082,0.8723371468275016
