x,y,y_lo,y_hi,n,outcome,sample
-0.027964518609772403,0.038025962848252534,0.025741598081957175,0.05263405936481844,3887,logR,all
-0.015748341355380696,0.022275360107510512,0.008479412026992603,0.03747107962405748,3882,logR,all
-0.008256244945504648,0.010236378632061468,-0.005683967514376796,0.02461299443132467,3885,logR,all
-0.0018567837298739435,0.008869065418406501,-0.004310580030781354,0.022510732261543053,3884,logR,all
0.004130146923250807,-0.006799611335614597,-0.021613792384864192,0.010387965000906284,3885,logR,all
0.01006936174660053,-0.008981060833901343,-0.024162029590497763,0.005720782961584098,3890,logR,all
0.01658226266326376,-0.04163709624277031,-0.054582398480859495,-0.02947653513156283,3879,logR,all
0.026283117382233392,-0.027865297452282917,-0.04013386066812847,-0.014742852335051085,3884,logR,all
-0.027964518609772403,0.03802596284825228,0.02574159808195693,0.05263405936481816,3887,logRP,all
-0.015748341355380696,0.022275360107510248,0.00847941202699233,0.03747107962405723,3882,logRP,all
-0.008256244945504648,0.010236378632061184,-0.005683967514377094,0.024612994431324364,3885,logRP,all
-0.0018567837298739435,0.008869065418406211,-0.004310580030781642,0.022510732261542758,3884,logRP,all
0.004130146923250807,-0.0067996113356149,-0.021613792384864477,0.01038796500090597,3885,logRP,all
0.01006936174660053,-0.008981060833901587,-0.024162029590498013,0.005720782961583849,3890,logRP,all
0.01658226266326376,-0.041637096242770566,-0.054582398480859745,-0.029476535131563102,3879,logRP,all
0.026283117382233392,-0.027865297452283184,-0.04013386066812875,-0.014742852335051359,3884,logRP,all
-0.027977414434848753,0.04576250188862644,0.024597148745076722,0.06987414026920032,3877,logR_dry,all
-0.015763766414891398,0.04783349558178605,0.02429312979452099,0.06686226295142528,3877,logR_dry,all
-0.008264038039262456,0.009506182181968524,-0.01543851381362687,0.02839733764256352,3877,logR_dry,all
-0.00186833887933045,0.009324684426894896,-0.0137575695524887,0.03479841218306437,3876,logR_dry,all
0.004130705869397185,-0.011861747902597558,-0.03818333917434295,0.015642781520861238,3879,logR_dry,all
0.01007314414496415,-0.01582095447871298,-0.038223973842221926,0.007900409460012315,3876,logR_dry,all
0.01658530475866119,-0.053799542943873284,-0.07653240219521568,-0.03394336412036624,3876,logR_dry,all
0.026301044511461893,-0.059298262256497355,-0.08461046978387746,-0.03732698976148247,3877,logR_dry,all
-0.027968416110500795,0.05156088975247599,0.03601769163650234,0.0693101443235674,3885,logR_wet,all
-0.015749811207360905,0.03308450053194334,0.013764781610585822,0.05307903700375312,3883,logR_wet,all
-0.008256048365921583,0.008935533106970182,-0.011071007725342518,0.026456504863237307,3883,logR_wet,all
-0.001858412002088661,0.015749911055202945,-0.004714785548569596,0.03277934247922195,3883,logR_wet,all
0.004130405021174179,-0.00940532758276636,-0.02908500281051616,0.008793688912166468,3885,logR_wet,all
0.010068775082102854,-0.01255908703332472,-0.034236265366690714,0.007317039576283478,3885,logR_wet,all
0.016580592415047956,-0.036199315989611826,-0.06055266195506892,-0.020212415580546306,3881,logR_wet,all
0.026286003307378198,-0.04166158774945122,-0.06314409102796234,-0.022000726217864655,3883,logR_wet,all
