y,xvars,n,n_sites,r2_within,ok,beta_logQ,se_logQ,ci95_lo_logQ,ci95_hi_logQ,sample,family,p_logQ,beta_GP,se_GP,p_GP,ci95_lo_GP,ci95_hi_GP,beta_logQ_x_GP,se_logQ_x_GP,p_logQ_x_GP,ci95_lo_logQ_x_GP,ci95_hi_logQ_x_GP,beta_logP,se_logP,p_logP,ci95_lo_logP,ci95_hi_logP,beta_frac_q10_dry,se_frac_q10_dry,p_frac_q10_dry,ci95_lo_frac_q10_dry,ci95_hi_frac_q10_dry,beta_logPET,se_logPET,p_logPET,ci95_lo_logPET,ci95_hi_logPET,beta_GP_x_logPET,se_GP_x_logPET,p_GP_x_logPET,ci95_lo_GP_x_logPET,ci95_hi_GP_x_logPET,beta_logP_lag,se_logP_lag,p_logP_lag,ci95_lo_logP_lag,ci95_hi_logP_lag,beta_GP_x_logP_lag,se_GP_x_logP_lag,p_GP_x_logP_lag,ci95_lo_GP_x_logP_lag,ci95_hi_GP_x_logP_lag,beta_GP_dry,se_GP_dry,p_GP_dry,ci95_lo_GP_dry,ci95_hi_GP_dry,beta_logP_dry,se_logP_dry,p_logP_dry,ci95_lo_logP_dry,ci95_hi_logP_dry,beta_GP_wet,se_GP_wet,p_GP_wet,ci95_lo_GP_wet,ci95_hi_GP_wet,beta_logP_wet,se_logP_wet,p_logP_wet,ci95_lo_logP_wet,ci95_hi_logP_wet
logC_low,GP+logP,4132,268,0.029653256223858615,True,,,,,TP_South,c_dry,,0.26007521070655265,0.6720401598836345,0.6987609791625753,-1.0570992988299106,1.577249720243016,,,,,,0.03119277672242247,0.061904562351347094,0.6143422336690288,-0.090137935964932,0.15252348940977695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logC_low,GP+logP+frac_q10_dry,4117,267,0.03055274250722473,True,,,,,TP_South,c_dry_ctrl_q10,,0.3525669225667274,0.6802148896726566,0.604237132654099,-0.9806297629395659,1.6857636080730207,,,,,,-0.000919585676167814,0.0620094220861317,0.9881679864787333,-0.12245581966712854,0.1206166483147929,-0.08276102386084644,0.06172538733059149,0.1799873717404823,-0.2037405599605907,0.03821851223889783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logLoad_dry,GP+logP,4037,260,0.17183564526234152,True,,,,,TP_South,load_dry,,-2.661298378730021,0.9729511911086927,0.006232636879150346,-4.568247672018406,-0.7543490854416361,,,,,,1.7724472340390007,0.13133562371750682,1.660978892846349e-41,1.5150341416655828,2.0298603264124186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logLoad_dry,GP+logP+frac_q10_dry,4024,259,0.29662547296711006,True,,,,,TP_South,load_dry_ctrl_q10,,-0.8977860865172493,0.9187030176032224,0.3284542556594626,-2.6984109135078325,0.9028387404733338,,,,,,0.947806628739962,0.11365791238982999,7.484733170504753e-17,0.7250412138978864,1.1705720435820375,-1.9351414313134223,0.10342588108393509,4.0717165600241574e-78,-2.1378524333072577,-1.7324304293195871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logC_low,GP+logP,4788,304,0.026197256687564563,True,,,,,NO3_lowcrop,c_dry,,0.9440021530907516,0.38074977984579944,0.013163159146830876,0.19774629747143024,1.6902580087100731,,,,,,0.14075221179467004,0.06668864966460233,0.03480780698163181,0.01004486027444032,0.27145956331489973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logC_low,GP+logP+frac_q10_dry,4788,304,0.02753968468130874,True,,,,,NO3_lowcrop,c_dry_ctrl_q10,,1.0589285411970597,0.3880512438470215,0.006355813668436157,0.29836207910092727,1.8194950032931922,,,,,,0.1123612448677305,0.06477140658816291,0.08278770232793455,-0.01458837927306919,0.23931086900853019,-0.08764760410725889,0.04855655545401901,0.071064945124493,-0.18281670401045808,0.007521495795940303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logLoad_dry,GP+logP,4722,298,0.15545599205803595,True,,,,,NO3_lowcrop,load_dry,,-0.6619326649464609,0.5353078731047419,0.21625577822765119,-1.7111168168724924,0.3872514869795708,,,,,,1.2541653084069844,0.1421177402669574,1.0962338022054004e-18,0.97561965591953,1.5327109608944387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logLoad_dry,GP+logP+frac_q10_dry,4722,298,0.32011400340298857,True,,,,,NO3_lowcrop,load_dry_ctrl_q10,,1.3955991352764407,0.4913138236222168,0.0045036486750394756,0.43264173587023136,2.3585565346826503,,,,,,0.7501249426625636,0.10191303291314222,1.8330260485793715e-13,0.5503790685975597,0.9498708167275675,-1.5364767339726682,0.0773348658148742,7.72564639472741e-88,-1.6880502857190594,-1.384903182226277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logC_low,GP+logP,4554,308,0.023951432430063035,True,,,,,NO3_highcrop,c_dry,,-0.8854319331660564,0.48764473447568984,0.06941156073666543,-1.8411980499890062,0.07033418365689337,,,,,,0.24470422040238407,0.06312273454138866,0.00010590817261003507,0.12098593409557985,0.3684225067091883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logC_low,GP+logP+frac_q10_dry,4541,307,0.04279682251839634,True,,,,,NO3_highcrop,c_dry_ctrl_q10,,-0.5340008483893782,0.4894566513251374,0.2752696086317421,-1.4933182569802264,0.42531656020147,,,,,,0.10304105774728238,0.05684001886573615,0.06985867957913094,-0.008363332110137692,0.21444544760470247,-0.3808856883637329,0.06836348347984493,2.5258632850351235e-08,-0.5148756538419279,-0.24689572288553785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logLoad_dry,GP+logP,4456,302,0.19264716341182497,True,,,,,NO3_highcrop,load_dry,,-2.9716474264989854,0.798712817357023,0.0001987928737154016,-4.537095782509269,-1.406199070488702,,,,,,1.9592919234546964,0.1645737578516858,1.111281905624287e-32,1.6367332852649763,2.2818505616444167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logLoad_dry,GP+logP+frac_q10_dry,4445,301,0.3659349258403002,True,,,,,NO3_highcrop,load_dry_ctrl_q10,,-1.1849884884799395,0.716109271362797,0.09797332951301922,-2.588536869346242,0.21855989238636298,,,,,,1.1386276426626367,0.11713270994861702,2.4575995794038543e-22,0.9090517497517709,1.3682035355735025,-2.1097339666360257,0.09388260304352135,7.792178508473675e-112,-2.293740487376198,-1.9257274458958533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logR,GP+logPET+GP_x_logPET+logP,19510,1056,0.4170776645119185,True,,,,,all,gp_x_pet,,-0.012976609929945879,0.153205844762228,0.9324995074031923,-0.3132545478849473,0.28730132802505554,,,,,,1.085164442561823,0.0523698927917328,2.232848245515772e-95,0.982521338815803,1.187807546307843,,,,,,-1.5061332422310043,0.09962105847975904,1.2206820869943259e-51,-1.7013869289530905,-1.310879555508918,3.306235955846394,1.325886623579924,0.012645359612278851,0.7075459260463273,5.904925985646461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logR_dry,GP+logPET+GP_x_logPET+logP,19480,1056,0.23092983630220365,True,,,,,all,gp_x_pet,,0.29792184633784907,0.29050019980723685,0.3051047743421482,-0.27144808278602467,0.8672917754617229,,,,,,0.8129508438650164,0.058205708666851104,2.4834478935317553e-44,0.6988697511833574,0.9270319365466754,,,,,,-3.2312470111766163,0.13480168501353404,5.666164543279721e-127,-3.4954534588584556,-2.967040563494777,3.4334103891165704,2.2829139723572247,0.1325917688921207,-1.0410187765068581,7.907839554739999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logR,GP+logP_lag+GP_x_logP_lag+logP,33474,1056,0.3853553728131224,True,,,,,all,gp_x_lagP,,-1.400994574675206,0.131417725298608,1.5555511525534053e-26,-1.658568583190656,-1.1434205661597558,,,,,,1.3230314080475194,0.03868162404837437,2.1745904767043464e-256,1.2472168180491872,1.3988459980458516,,,,,,,,,,,,,,,,0.5717765370342598,0.025666813377673122,6.192319856085857e-110,0.5214705072161097,0.6220825668524099,0.6504741765545282,0.919385536140587,0.4792497924889415,-1.1514883621880707,2.452436715297127,,,,,,,,,,,,,,,,,,,,
logR_dry,GP+logP_lag+GP_x_logP_lag+logP,33405,1056,0.18818933546397065,True,,,,,all,gp_x_lagP,,-2.413734664901684,0.21941583771748618,3.7904552981787e-28,-2.8437818044656424,-1.983687525337726,,,,,,1.4163587169772853,0.053857704055654376,2.0127386522624474e-152,1.310799556738186,1.5219178772163846,,,,,,,,,,,,,,,,0.6282255619582462,0.03356079633382204,3.4640021250965624e-78,0.5624476098514711,0.6940035140650213,2.435283240920179,1.3362400257251092,0.06838076540040262,-0.1836990842019106,5.054265566042268,,,,,,,,,,,,,,,,,,,,
logR,GP+logP,9898,585,0.44527940911172126,True,,,,,high_PET,pet_split,,-0.8688350229145148,0.1873543079717566,3.5283601589101188e-06,-1.236042718887583,-0.5016273269414463,,,,,,1.3148860120881656,0.07106890435274595,2.0056155520826802e-76,1.1755935191360616,1.4541785050402696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logR,GP+logP,9612,566,0.37317778709051475,True,,,,,low_PET,pet_split,,-1.3706247596869345,0.2919948970642494,2.6791083278779845e-06,-1.9429242416023438,-0.7983252777715253,,,,,,1.3628468406625354,0.06130292219861998,1.7090910121145885e-109,1.2426953210061793,1.4829983603188914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logR,GP+logP,6462,188,0.6877652126698778,True,,,,,Northeast,pet_check,,-0.19714976207906085,0.09083291945327548,0.029971562689578242,-0.37517901281810845,-0.019120511340013246,,,,,,0.7802266214178627,0.05016633690475421,1.5231736903326635e-54,0.6819024078482419,0.8785508349874835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logR,GP+logPET+GP_x_logPET+logP,3807,188,0.6981973083088878,True,,,,,Northeast,gp_x_pet,,-0.13788721270964185,0.13013226623540025,0.28932988932196446,-0.39294176775760403,0.11716734233832035,,,,,,0.697507753035152,0.06826984817588952,1.665443418048987e-24,0.5637013093803911,0.8313141966899129,,,,,,-0.6446527349798403,0.07413972962796798,3.4650915253952133e-18,-0.7899639348741947,-0.4993415350854859,1.91714063722736,1.0477137127282246,0.06727498438195739,-0.13634050582870438,3.9706217802834245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logR,GP+logP,8690,279,0.4370492175316696,True,,,,,South,pet_check,,-0.9939863922330806,0.30860931324541374,0.0012780800996606417,-1.5988495314877316,-0.38912325297842976,,,,,,1.7251503532813417,0.059312094627568986,5.400582547497848e-186,1.6089007839636749,1.8413999225990085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logR,GP+logPET+GP_x_logPET+logP,5168,279,0.48404294286038807,True,,,,,South,gp_x_pet,,-0.8312920575633493,0.3573346528183181,0.019998903962157272,-1.5316551075153768,-0.13092900761132176,,,,,,1.4847857227101355,0.08096041707863708,3.9935901505896407e-75,1.3261062210626653,1.6434652243576058,,,,,,-0.9320649476614833,0.14652307056910308,2.0016231104723468e-10,-1.219244888881146,-0.6448850064418206,3.65965822454657,2.952609344232529,0.21517305641326878,-2.127349750565614,9.446666199658754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logR,GP+logP,8185,261,0.5712915315880753,True,,,,,Interior,pet_check,,-0.6337253990474673,0.19955323704781272,0.0014946464174728064,-1.0248425566595643,-0.2426082414353703,,,,,,1.5737349014241129,0.045387034283123594,1.9653977910698207e-263,1.484777948864106,1.6626918539841198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logR,GP+logPET+GP_x_logPET+logP,4329,261,0.6051637004553849,True,,,,,Interior,gp_x_pet,,0.28949132422701224,0.26773677404413343,0.2795843653126262,-0.2352631102364276,0.8142457586904521,,,,,,1.4129072202828623,0.06849787497936664,1.5702526653434213e-94,1.2786538523057764,1.5471605882599482,,,,,,-1.3185942136330835,0.13922874251352696,2.7796382470066644e-21,-1.591477534572397,-1.04571089269377,1.7767600127964027,2.5325941155717615,0.48295525831963815,-3.1870332411823217,6.740553266775127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logR,GP+logP,11193,328,0.3619570698065292,True,,,,,West,pet_check,,-2.149422824529963,0.2695800137470113,1.5458302410722997e-15,-2.6777899424259175,-1.621055706634008,,,,,,0.9169649598698831,0.0618256316629008,9.170348880673358e-50,0.7957889484891584,1.038140971250608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logR,GP+logPET+GP_x_logPET+logP,6206,328,0.421528009346243,True,,,,,West,gp_x_pet,,0.5489886063421863,0.38744360681315565,0.15649725392090066,-0.21038690905189628,1.3083641217362687,,,,,,0.6955150948541267,0.08754234757896455,1.943493388761524e-15,0.523935246477269,0.8670949432309843,,,,,,-2.0945551294820732,0.2604034448744599,8.73081508844595e-16,-2.6049365028861757,-1.5841737560779705,-1.0506927777771482,2.6569996638130084,0.6925157413476783,-6.258316425785677,4.15693087023138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logR_dry,GP_dry+logP_dry,34439,1056,0.1378971477716079,True,,,,,all,gp_season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5653843503388714,0.18745359143008622,6.781164390403684e-17,-1.9327866383145265,-1.1979820623632162,0.49932725549482737,0.03614592738567419,2.09251205189814e-43,0.42848253963110594,0.5701719713585488,,,,,,,,,,
logR_wet,GP_wet+logP_wet,34520,1056,0.29178256003281033,True,,,,,all,gp_season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2284457451831952,0.13312043035269105,2.7553076871531193e-20,-1.4893569942809424,-0.9675344960854481,0.7373591709865526,0.034031564040276324,4.209923611145227e-104,0.6706585311300426,0.8040598108430626
logR_dry,GP_dry+GP+logP,34439,1056,0.177184570591299,True,,,,,all,gp_season_horse,,-0.31591471222468664,0.2577265127811086,0.2202833633435236,-0.8210493951367615,0.1892199706873881,,,,,,1.4737552517378991,0.05315537874756438,3.448569189526007e-169,1.3695726238080872,1.577937879667711,,,,,,,,,,,,,,,,,,,,,,,,,,-2.234758247902324,0.16300162848793945,8.841356318494648e-43,-2.5542355691600633,-1.9152809266445845,,,,,,,,,,,,,,,
logR_wet,GP_wet+GP+logP,34520,1056,0.2634723819043112,True,,,,,all,gp_season_horse,,1.4188304784366692,0.21877722516668588,8.857005988466376e-11,0.9900349964723549,1.8476259604009835,,,,,,1.2229599620625327,0.040521696493659914,4.286403733440214e-200,1.1435388963424962,1.3023810277825691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.91883462694629,0.1517201843493788,1.7700157679402746e-82,-3.21620072399885,-2.62146852989373,,,,,
logR_dry,GP_dry+logP_dry,6461,188,0.5685834699116641,True,,,,,Northeast,gp_season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14224199092438522,0.18446885474871166,0.4406539032895457,-0.21931032065244016,0.5037943025012106,0.9943194770828016,0.04324326652118438,5.398696024602839e-117,0.9095642321274134,1.0790747220381895,,,,,,,,,,
logR_wet,GP_wet+logP_wet,6462,188,0.6866702957957667,True,,,,,Northeast,gp_season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053659296177702806,0.08125515906659264,0.5090098910527626,-0.10559788915089201,0.2129164815062976,0.6915490006465392,0.024160864607869727,3.507286828063665e-180,0.6441945761797662,0.7389034251133123
logR_dry,GP_dry+logP_dry,8672,279,0.24250760176784558,True,,,,,South,gp_season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4016495728959835,0.3176514350192839,0.2060739589553896,-0.22093579937927815,1.0242349451712451,0.854531297578913,0.05055873043586851,4.3670951762564625e-64,0.7554380068205416,0.9536245883372844,,,,,,,,,,
logR_wet,GP_wet+logP_wet,8684,279,0.3656267001652407,True,,,,,South,gp_season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7305667254060865,0.2167055986614631,0.0007483045684820345,-1.1553018940307456,-0.3058315567814274,1.2104784622977567,0.046605163162414524,9.984761175500972e-149,1.1191340210058114,1.301822903589702
logR_dry,GP_dry+logP_dry,8181,261,0.32725913563066356,True,,,,,Interior,gp_season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05678855941144065,0.2885462762846036,0.8439768578418989,-0.5087517499795263,0.6223288688024077,1.1289319622634162,0.060222314470076505,2.0842124627394374e-78,1.010898394836421,1.2469655296904114,,,,,,,,,,
logR_wet,GP_wet+logP_wet,8185,261,0.5188151537754591,True,,,,,Interior,gp_season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.41888553395363715,0.13698573121532823,0.0022291095831001185,-0.6873726335315646,-0.1503984343757096,0.9709844335426298,0.03415672866273986,9.293931292179638e-178,0.9040384755339527,1.0379303915513067
logR_dry,GP_dry+logP_dry,11125,328,0.1381149104862801,True,,,,,West,gp_season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7515140060685115,0.2956498183940408,3.136576439752479e-09,-2.330977002156639,-1.1720510099803838,0.08787678479192226,0.02088036083604565,2.569742412680684e-05,0.046952029569072136,0.1288015400147724,,,,,,,,,,
logR_wet,GP_wet+logP_wet,11189,328,0.32082862739552587,True,,,,,West,gp_season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4028929351520754,0.23700785052998483,3.7295921000590556e-24,-2.867419786244098,-1.9383660840600527,0.37700940957915985,0.04055438429766942,1.4529388655911816e-20,0.2975242769405311,0.4564945422177886
logC_low,GP_dry+logP,3157,167,0.07585907860989993,True,,,,,TP_NE,c_dry_gpdry,,,,,,,,,,,,0.15732723796216352,0.15489247873516682,0.3097632041931737,-0.1462564418348996,0.46091091775922666,,,,,,,,,,,,,,,,,,,,,,,,,,0.9366648098944959,0.34550046637139736,0.006707298782757431,0.2594963391647649,1.6138332806242268,,,,,,,,,,,,,,,
logC_low,GP_dry+GP+logP,3157,167,0.07802855821726029,True,,,,,TP_NE,c_dry_horse,,1.664989778137895,0.7014605853880479,0.017615422841374583,0.290152294202938,3.039827262072852,,,,,,0.1763048355657758,0.15731718071761275,0.2624170136654346,-0.13203117279012422,0.48464084392167583,,,,,,,,,,,,,,,,,,,,,,,,,,0.15229160824196647,0.4501477353198906,0.7351260267275819,-0.7299817407072879,1.034564957191221,,,,,,,,,,,,,,,
logC_low,GP_dry+logP,4132,268,0.029646620776917376,True,,,,,TP_South,c_dry_gpdry,,,,,,,,,,,,0.02481613797496953,0.06137768743958287,0.6859784816835488,-0.09548191886096935,0.1451141948109084,,,,,,,,,,,,,,,,,,,,,,,,,,-0.14788147769373328,0.3481520007343438,0.6710107312181399,-0.8302468602786096,0.5344839048911431,,,,,,,,,,,,,,,
logC_low,GP_dry+GP+logP,4132,268,0.02990728763188477,True,,,,,TP_South,c_dry_horse,,0.6129056677791693,0.7283963615048618,0.400098537565421,-0.8147249672403771,2.040536302798716,,,,,,0.03504573422215382,0.06245408576522022,0.574699388976043,-0.08736202456505347,0.15745349300936112,,,,,,,,,,,,,,,,,,,,,,,,,,-0.361308019733292,0.3571730073551483,0.3117403201609328,-1.0613542503992426,0.3387382109326585,,,,,,,,,,,,,,,
logC_low,GP_dry+logP,4778,304,0.024436560499367266,True,,,,,NO3_lowcrop,c_dry_gpdry,,,,,,,,,,,,0.1056598714006083,0.06421818535948999,0.09990253231121392,-0.02020545905650946,0.23152520185772607,,,,,,,,,,,,,,,,,,,,,,,,,,0.15684638948622834,0.20114279549739686,0.435522545143576,-0.23738624543837486,0.5510790244108316,,,,,,,,,,,,,,,
logC_low,GP_dry+GP+logP,4778,304,0.02608145395948469,True,,,,,NO3_lowcrop,c_dry_horse,,1.2712300268479328,0.4913287743465011,0.00967227106213196,0.30824332456058356,2.234216729135282,,,,,,0.13581361023479413,0.0681086389525438,0.04614405777365587,0.0023231308517664417,0.2693040896178218,,,,,,,,,,,,,,,,,,,,,,,,,,-0.34663435850906854,0.2615990061306681,0.1851512777454467,-0.8593589889166509,0.16609027189851377,,,,,,,,,,,,,,,
